,precision,recall,f1-score,support
Industrial Ecologists,1.0,1.0,1.0,109.0
Industrial Engineering Technicians,1.0,1.0,1.0,102.0
Industrial Engineering Technologists,1.0,1.0,1.0,87.0
Industrial Engineers,1.0,1.0,1.0,120.0
Industrial Machinery Mechanics,1.0,1.0,1.0,109.0
Industrial Production Managers,1.0,1.0,1.0,107.0
Industrial Safety and Health Engineers,1.0,1.0,1.0,89.0
Industrial Truck and Tractor Operators,1.0,1.0,1.0,113.0
Industrial-Organizational Psychologists,1.0,1.0,1.0,110.0
Informatics Nurse Specialists,1.0,1.0,1.0,103.0
Information Security Analysts,1.0,1.0,1.0,114.0
Information Technology Project Managers,1.0,1.0,1.0,98.0
"Inspectors, Testers, Sorters, Samplers, and Weighers",1.0,1.0,1.0,95.0
Instructional Coordinators,1.0,1.0,1.0,100.0
Instructional Designers and Technologists,1.0,1.0,1.0,90.0
"Insulation Workers, Floor, Ceiling, and Wall",1.0,1.0,1.0,110.0
"Insulation Workers, Mechanical",1.0,1.0,1.0,115.0
"Insurance Adjusters, Examiners, and Investigators",1.0,1.0,1.0,95.0
"Insurance Appraisers, Auto Damage",1.0,1.0,1.0,104.0
Insurance Claims Clerks,1.0,1.0,1.0,115.0
Insurance Policy Processing Clerks,1.0,1.0,1.0,88.0
Insurance Sales Agents,1.0,1.0,1.0,94.0
Insurance Underwriters,1.0,1.0,1.0,103.0
Intelligence Analysts,1.0,1.0,1.0,103.0
Interior Designers,1.0,1.0,1.0,114.0
"Internists, General",1.0,1.0,1.0,95.0
Interpreters and Translators,1.0,1.0,1.0,125.0
"Interviewers, Except Eligibility and Loan",1.0,1.0,1.0,95.0
Investment Fund Managers,1.0,1.0,1.0,109.0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.0,1.0,1.0,108.0
Jewelers,1.0,1.0,1.0,108.0
"Judges, Magistrate Judges, and Magistrates",1.0,1.0,1.0,105.0
Judicial Law Clerks,1.0,1.0,1.0,90.0
"Kindergarten Teachers, Except Special Education",1.0,1.0,1.0,104.0
Labor Relations Specialists,1.0,1.0,1.0,91.0
"Laborers and Freight, Stock, and Material Movers, Hand",1.0,1.0,1.0,106.0
Landscape Architects,1.0,1.0,1.0,104.0
Landscaping and Groundskeeping Workers,1.0,1.0,1.0,91.0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,94.0
Laundry and Dry-Cleaning Workers,1.0,1.0,1.0,99.0
"Law Teachers, Postsecondary",1.0,1.0,1.0,111.0
Lawyers,1.0,1.0,1.0,83.0
"Layout Workers, Metal and Plastic",1.0,1.0,1.0,96.0
Legal Secretaries,1.0,1.0,1.0,100.0
Librarians,1.0,1.0,1.0,77.0
"Library Assistants, Clerical",1.0,1.0,1.0,103.0
"Library Science Teachers, Postsecondary",1.0,1.0,1.0,111.0
Library Technicians,1.0,1.0,1.0,123.0
License Clerks,1.0,1.0,1.0,121.0
Licensed Practical and Licensed Vocational Nurses,1.0,1.0,1.0,97.0
Licensing Examiners and Inspectors,1.0,1.0,1.0,98.0
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.0,1.0,1.0,93.0
Light Truck or Delivery Services Drivers,1.0,1.0,1.0,100.0
"Loading Machine Operators, Underground Mining",1.0,1.0,1.0,116.0
Loan Counselors,1.0,1.0,1.0,106.0
Loan Interviewers and Clerks,1.0,1.0,1.0,115.0
Loan Officers,1.0,1.0,1.0,137.0
"Locker Room, Coatroom, and Dressing Room Attendants",1.0,1.0,1.0,103.0
Locksmiths and Safe Repairers,1.0,1.0,1.0,91.0
Locomotive Engineers,1.0,1.0,1.0,104.0
Locomotive Firers,1.0,1.0,1.0,116.0
Lodging Managers,1.0,1.0,1.0,97.0
Log Graders and Scalers,1.0,1.0,1.0,97.0
Logging Equipment Operators,1.0,1.0,1.0,106.0
Logisticians,1.0,1.0,1.0,95.0
Logistics Analysts,1.0,1.0,1.0,94.0
Logistics Engineers,1.0,1.0,1.0,97.0
Logistics Managers,1.0,1.0,1.0,124.0
Loss Prevention Managers,1.0,1.0,1.0,106.0
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1.0,1.0,1.0,93.0
Machine Feeders and Offbearers,1.0,1.0,1.0,105.0
Machinists,1.0,1.0,1.0,90.0
Magnetic Resonance Imaging Technologists,1.0,1.0,1.0,99.0
Maids and Housekeeping Cleaners,1.0,1.0,1.0,115.0
"Mail Clerks and Mail Machine Operators, Except Postal Service",1.0,1.0,1.0,95.0
"Maintenance Workers, Machinery",1.0,1.0,1.0,98.0
"Maintenance and Repair Workers, General",1.0,1.0,1.0,107.0
"Makeup Artists, Theatrical and Performance",1.0,1.0,1.0,104.0
Management Analysts,1.0,1.0,1.0,114.0
Manicurists and Pedicurists,1.0,1.0,1.0,113.0
Manufactured Building and Mobile Home Installers,1.0,1.0,1.0,106.0
Manufacturing Engineering Technologists,1.0,1.0,1.0,81.0
Manufacturing Engineers,1.0,1.0,1.0,113.0
Manufacturing Production Technicians,1.0,1.0,1.0,98.0
Mapping Technicians,1.0,1.0,1.0,108.0
Marine Architects,1.0,1.0,1.0,89.0
Marine Engineers,1.0,1.0,1.0,101.0
Market Research Analysts and Marketing Specialists,1.0,1.0,1.0,132.0
Marketing Managers,1.0,1.0,1.0,105.0
Marking Clerks,1.0,1.0,1.0,92.0
Marriage and Family Therapists,1.0,1.0,1.0,107.0
Massage Therapists,1.0,1.0,1.0,113.0
Materials Engineers,1.0,1.0,1.0,98.0
Materials Scientists,1.0,1.0,1.0,107.0
"Mates- Ship, Boat, and Barge",1.0,1.0,1.0,106.0
"Mathematical Science Teachers, Postsecondary",1.0,1.0,1.0,91.0
Mathematical Technicians,1.0,1.0,1.0,112.0
Mathematicians,1.0,1.0,1.0,112.0
"Meat, Poultry, and Fish Cutters and Trimmers",1.0,1.0,1.0,111.0
Mechanical Door Repairers,1.0,1.0,1.0,109.0
Mechanical Drafters,1.0,1.0,1.0,103.0
Mechanical Engineering Technicians,1.0,1.0,1.0,91.0
Mechanical Engineering Technologists,1.0,1.0,1.0,97.0
Mechanical Engineers,1.0,1.0,1.0,102.0
Mechatronics Engineers,1.0,1.0,1.0,106.0
Medical Appliance Technicians,1.0,1.0,1.0,106.0
Medical Assistants,1.0,1.0,1.0,92.0
Medical Equipment Preparers,1.0,1.0,1.0,109.0
Medical Equipment Repairers,1.0,1.0,1.0,107.0
Medical Records and Health Information Technicians,1.0,1.0,1.0,123.0
"Medical Scientists, Except Epidemiologists",1.0,1.0,1.0,106.0
Medical Secretaries,1.0,1.0,1.0,109.0
Medical Transcriptionists,1.0,1.0,1.0,112.0
Medical and Clinical Laboratory Technicians,1.0,1.0,1.0,102.0
Medical and Clinical Laboratory Technologists,1.0,1.0,1.0,88.0
Medical and Health Services Managers,1.0,1.0,1.0,106.0
"Meeting, Convention, and Event Planners",1.0,1.0,1.0,124.0
Mental Health Counselors,1.0,1.0,1.0,89.0
Mental Health and Substance Abuse Social Workers,1.0,1.0,1.0,94.0
Merchandise Displayers and Window Trimmers,1.0,1.0,1.0,105.0
Metal-Refining Furnace Operators and Tenders,1.0,1.0,1.0,119.0
"Meter Readers, Utilities",1.0,1.0,1.0,89.0
Microbiologists,1.0,1.0,1.0,109.0
Microsystems Engineers,1.0,1.0,1.0,102.0
"Middle School Teachers, Except Special and Career/Technical Education",1.0,1.0,1.0,118.0
Midwives,1.0,1.0,1.0,103.0
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,95.0
Millwrights,1.0,1.0,1.0,91.0
Mine Cutting and Channeling Machine Operators,1.0,1.0,1.0,101.0
Mine Shuttle Car Operators,1.0,1.0,1.0,99.0
"Mining and Geological Engineers, Including Mining Safety Engineers",1.0,1.0,1.0,110.0
"Mixing and Blending Machine Setters, Operators, and Tenders",1.0,1.0,1.0,100.0
"Mobile Heavy Equipment Mechanics, Except Engines",1.0,1.0,1.0,110.0
"Model Makers, Metal and Plastic",1.0,1.0,1.0,99.0
"Model Makers, Wood",1.0,1.0,1.0,87.0
Models,1.0,1.0,1.0,103.0
Molding and Casting Workers,1.0,1.0,1.0,95.0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,102.0
Molecular and Cellular Biologists,1.0,1.0,1.0,103.0
"Morticians, Undertakers, and Funeral Directors",1.0,1.0,1.0,98.0
Motion Picture Projectionists,1.0,1.0,1.0,105.0
Motorboat Mechanics and Service Technicians,1.0,1.0,1.0,107.0
Motorboat Operators,1.0,1.0,1.0,102.0
Motorcycle Mechanics,1.0,1.0,1.0,110.0
Multimedia Artists and Animators,1.0,1.0,1.0,106.0
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,114.0
Municipal Clerks,1.0,1.0,1.0,105.0
Municipal Fire Fighting and Prevention Supervisors,1.0,1.0,1.0,97.0
Municipal Firefighters,1.0,1.0,1.0,98.0
Museum Technicians and Conservators,1.0,1.0,1.0,99.0
Music Composers and Arrangers,1.0,1.0,1.0,94.0
Music Directors,1.0,1.0,1.0,122.0
Music Therapists,1.0,1.0,1.0,99.0
Musical Instrument Repairers and Tuners,1.0,1.0,1.0,104.0
"Musicians, Instrumental",1.0,1.0,1.0,104.0
Nannies,1.0,1.0,1.0,95.0
Nanosystems Engineers,1.0,1.0,1.0,113.0
Nanotechnology Engineering Technicians,1.0,1.0,1.0,104.0
Nanotechnology Engineering Technologists,1.0,1.0,1.0,105.0
Natural Sciences Managers,1.0,1.0,1.0,103.0
Naturopathic Physicians,1.0,1.0,1.0,98.0
Network and Computer Systems Administrators,1.0,1.0,1.0,92.0
Neurodiagnostic Technologists,1.0,1.0,1.0,95.0
Neurologists,1.0,1.0,1.0,98.0
Neuropsychologists and Clinical Neuropsychologists,1.0,1.0,1.0,105.0
New Accounts Clerks,1.0,1.0,1.0,92.0
Non-Destructive Testing Specialists,1.0,1.0,1.0,92.0
Nonfarm Animal Caretakers,1.0,1.0,1.0,88.0
Nuclear Engineers,1.0,1.0,1.0,120.0
Nuclear Equipment Operation Technicians,1.0,1.0,1.0,101.0
Nuclear Medicine Physicians,1.0,1.0,1.0,116.0
Nuclear Medicine Technologists,1.0,1.0,1.0,91.0
Nuclear Monitoring Technicians,1.0,1.0,1.0,105.0
Nuclear Power Reactor Operators,1.0,1.0,1.0,99.0
Nurse Anesthetists,1.0,1.0,1.0,120.0
Nurse Midwives,1.0,1.0,1.0,109.0
Nurse Practitioners,1.0,1.0,1.0,104.0
Nursery Workers,1.0,1.0,1.0,97.0
Nursery and Greenhouse Managers,1.0,1.0,1.0,108.0
Nursing Assistants,1.0,1.0,1.0,92.0
"Nursing Instructors and Teachers, Postsecondary",1.0,1.0,1.0,108.0
Obstetricians and Gynecologists,1.0,1.0,1.0,97.0
Occupational Health and Safety Specialists,1.0,1.0,1.0,94.0
Occupational Health and Safety Technicians,1.0,1.0,1.0,96.0
Occupational Therapists,1.0,1.0,1.0,102.0
Occupational Therapy Aides,1.0,1.0,1.0,100.0
Occupational Therapy Assistants,1.0,1.0,1.0,92.0
"Office Clerks, General",1.0,1.0,1.0,101.0
"Office Machine Operators, Except Computer",1.0,1.0,1.0,100.0
Online Merchants,1.0,1.0,1.0,95.0
Operating Engineers and Other Construction Equipment Operators,1.0,1.0,1.0,107.0
Operations Research Analysts,1.0,1.0,1.0,101.0
Ophthalmic Laboratory Technicians,1.0,1.0,1.0,105.0
Ophthalmic Medical Technicians,1.0,1.0,1.0,90.0
Ophthalmic Medical Technologists,1.0,1.0,1.0,83.0
Ophthalmologists,1.0,1.0,1.0,116.0
"Opticians, Dispensing",1.0,1.0,1.0,102.0
Optometrists,1.0,1.0,1.0,104.0
Oral and Maxillofacial Surgeons,1.0,1.0,1.0,86.0
Order Clerks,1.0,1.0,1.0,103.0
"Order Fillers, Wholesale and Retail Sales",1.0,1.0,1.0,104.0
Orderlies,1.0,1.0,1.0,106.0
Orthodontists,1.0,1.0,1.0,111.0
Orthoptists,1.0,1.0,1.0,105.0
Orthotists and Prosthetists,1.0,1.0,1.0,80.0
Outdoor Power Equipment and Other Small Engine Mechanics,1.0,1.0,1.0,111.0
Packaging and Filling Machine Operators and Tenders,1.0,1.0,1.0,115.0
"Packers and Packagers, Hand",1.0,1.0,1.0,101.0
"Painters, Construction and Maintenance",1.0,1.0,1.0,103.0
"Painters, Transportation Equipment",1.0,1.0,1.0,115.0
"Painting, Coating, and Decorating Workers",1.0,1.0,1.0,99.0
"Paper Goods Machine Setters, Operators, and Tenders",1.0,1.0,1.0,110.0
Paperhangers,1.0,1.0,1.0,104.0
Paralegals and Legal Assistants,1.0,1.0,1.0,102.0
Park Naturalists,1.0,1.0,1.0,92.0
Parking Enforcement Workers,1.0,1.0,1.0,92.0
Parking Lot Attendants,1.0,1.0,1.0,102.0
Parts Salespersons,1.0,1.0,1.0,92.0
Pathologists,1.0,1.0,1.0,84.0
Patient Representatives,1.0,1.0,1.0,101.0
"Patternmakers, Metal and Plastic",1.0,1.0,1.0,106.0
"Patternmakers, Wood",1.0,1.0,1.0,116.0
"Paving, Surfacing, and Tamping Equipment Operators",1.0,1.0,1.0,112.0
Payroll and Timekeeping Clerks,1.0,1.0,1.0,106.0
"Pediatricians, General",1.0,1.0,1.0,125.0
Personal Care Aides,1.0,1.0,1.0,107.0
Personal Financial Advisors,1.0,1.0,1.0,102.0
Pest Control Workers,1.0,1.0,1.0,128.0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.0,1.0,1.0,100.0
Petroleum Engineers,1.0,1.0,1.0,122.0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1.0,1.0,1.0,104.0
Pharmacists,1.0,1.0,1.0,115.0
Pharmacy Aides,1.0,1.0,1.0,108.0
Pharmacy Technicians,1.0,1.0,1.0,97.0
"Philosophy and Religion Teachers, Postsecondary",1.0,1.0,1.0,98.0
Phlebotomists,1.0,1.0,1.0,91.0
Photographers,1.0,1.0,1.0,111.0
Photographic Process Workers and Processing Machine Operators,1.0,1.0,1.0,87.0
Photonics Engineers,1.0,1.0,1.0,82.0
Photonics Technicians,1.0,1.0,1.0,112.0
Physical Medicine and Rehabilitation Physicians,1.0,1.0,1.0,97.0
Physical Therapist Aides,1.0,1.0,1.0,119.0
Physical Therapist Assistants,1.0,1.0,1.0,108.0
Physical Therapists,1.0,1.0,1.0,108.0
Physician Assistants,1.0,1.0,1.0,101.0
Physicists,1.0,1.0,1.0,113.0
"Physics Teachers, Postsecondary",1.0,1.0,1.0,93.0
Pile-Driver Operators,1.0,1.0,1.0,119.0
"Pilots, Ship",1.0,1.0,1.0,94.0
Pipe Fitters and Steamfitters,1.0,1.0,1.0,116.0
Pipelayers,1.0,1.0,1.0,131.0
Plasterers and Stucco Masons,1.0,1.0,1.0,114.0
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,107.0
Plumbers,1.0,1.0,1.0,111.0
Podiatrists,1.0,1.0,1.0,104.0
"Poets, Lyricists and Creative Writers",1.0,1.0,1.0,100.0
Police Detectives,1.0,1.0,1.0,104.0
Police Identification and Records Officers,1.0,1.0,1.0,99.0
Police Patrol Officers,1.0,1.0,1.0,89.0
"Police, Fire, and Ambulance Dispatchers",1.0,1.0,1.0,100.0
"Political Science Teachers, Postsecondary",1.0,1.0,1.0,101.0
Political Scientists,1.0,1.0,1.0,113.0
Postal Service Clerks,1.0,1.0,1.0,98.0
Postal Service Mail Carriers,1.0,1.0,1.0,108.0
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1.0,1.0,1.0,99.0
Postmasters and Mail Superintendents,1.0,1.0,1.0,91.0
"Potters, Manufacturing",1.0,1.0,1.0,98.0
"Pourers and Casters, Metal",1.0,1.0,1.0,103.0
Power Distributors and Dispatchers,1.0,1.0,1.0,101.0
Power Plant Operators,1.0,1.0,1.0,84.0
Precious Metal Workers,1.0,1.0,1.0,100.0
Precision Agriculture Technicians,1.0,1.0,1.0,111.0
Prepress Technicians and Workers,1.0,1.0,1.0,120.0
"Preschool Teachers, Except Special Education",1.0,1.0,1.0,92.0
"Pressers, Textile, Garment, and Related Materials",1.0,1.0,1.0,87.0
Preventive Medicine Physicians,1.0,1.0,1.0,102.0
Print Binding and Finishing Workers,1.0,1.0,1.0,101.0
Printing Press Operators,1.0,1.0,1.0,103.0
Private Detectives and Investigators,1.0,1.0,1.0,109.0
Probation Officers and Correctional Treatment Specialists,1.0,1.0,1.0,78.0
Procurement Clerks,1.0,1.0,1.0,101.0
Producers,1.0,1.0,1.0,92.0
Product Safety Engineers,1.0,1.0,1.0,79.0
"Production, Planning, and Expediting Clerks",1.0,1.0,1.0,111.0
Program Directors,1.0,1.0,1.0,83.0
Proofreaders and Copy Markers,1.0,1.0,1.0,114.0
"Property, Real Estate, and Community Association Managers",1.0,1.0,1.0,123.0
Prosthodontists,1.0,1.0,1.0,113.0
Psychiatric Aides,1.0,1.0,1.0,102.0
Psychiatric Technicians,1.0,1.0,1.0,101.0
Psychiatrists,1.0,1.0,1.0,110.0
"Psychology Teachers, Postsecondary",1.0,1.0,1.0,118.0
Public Address System and Other Announcers,1.0,1.0,1.0,102.0
Public Relations Specialists,1.0,1.0,1.0,103.0
Public Relations and Fundraising Managers,1.0,1.0,1.0,117.0
"Pump Operators, Except Wellhead Pumpers",1.0,1.0,1.0,93.0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0,1.0,1.0,107.0
Purchasing Managers,1.0,1.0,1.0,88.0
Quality Control Analysts,1.0,1.0,1.0,108.0
Quality Control Systems Managers,1.0,1.0,1.0,94.0
Radiation Therapists,1.0,1.0,1.0,102.0
Radio Frequency Identification Device Specialists,1.0,1.0,1.0,110.0
Radio Mechanics,1.0,1.0,1.0,117.0
Radio Operators,1.0,1.0,1.0,118.0
Radio and Television Announcers,1.0,1.0,1.0,94.0
"Radio, Cellular, and Tower Equipment Installers and Repairers",1.0,1.0,1.0,110.0
Radiologic Technicians,1.0,1.0,1.0,102.0
Radiologic Technologists,1.0,1.0,1.0,95.0
Radiologists,1.0,1.0,1.0,101.0
Rail Car Repairers,1.0,1.0,1.0,109.0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",1.0,1.0,1.0,105.0
Rail-Track Laying and Maintenance Equipment Operators,1.0,1.0,1.0,117.0
"Railroad Brake, Signal, and Switch Operators",1.0,1.0,1.0,92.0
Railroad Conductors and Yardmasters,1.0,1.0,1.0,95.0
Range Managers,1.0,1.0,1.0,105.0
Real Estate Brokers,1.0,1.0,1.0,112.0
Real Estate Sales Agents,1.0,1.0,1.0,88.0
Receptionists and Information Clerks,1.0,1.0,1.0,99.0
Recreation Workers,1.0,1.0,1.0,106.0
"Recreation and Fitness Studies Teachers, Postsecondary",1.0,1.0,1.0,112.0
Recreational Therapists,1.0,1.0,1.0,116.0
Recreational Vehicle Service Technicians,1.0,1.0,1.0,100.0
Recycling Coordinators,1.0,1.0,1.0,108.0
Recycling and Reclamation Workers,1.0,1.0,1.0,111.0
"Refractory Materials Repairers, Except Brickmasons",1.0,1.0,1.0,113.0
Refrigeration Mechanics and Installers,1.0,1.0,1.0,87.0
Refuse and Recyclable Material Collectors,1.0,1.0,1.0,80.0
Registered Nurses,1.0,1.0,1.0,110.0
Regulatory Affairs Managers,1.0,1.0,1.0,111.0
Regulatory Affairs Specialists,1.0,1.0,1.0,89.0
Rehabilitation Counselors,1.0,1.0,1.0,104.0
Reinforcing Iron and Rebar Workers,1.0,1.0,1.0,98.0
Remote Sensing Scientists and Technologists,1.0,1.0,1.0,102.0
Remote Sensing Technicians,1.0,1.0,1.0,109.0
Reporters and Correspondents,1.0,1.0,1.0,103.0
Reservation and Transportation Ticket Agents and Travel Clerks,1.0,1.0,1.0,94.0
Residential Advisors,1.0,1.0,1.0,108.0
Respiratory Therapists,1.0,1.0,1.0,121.0
Respiratory Therapy Technicians,1.0,1.0,1.0,94.0
Retail Loss Prevention Specialists,1.0,1.0,1.0,120.0
Retail Salespersons,1.0,1.0,1.0,112.0
Riggers,1.0,1.0,1.0,85.0
Risk Management Specialists,1.0,1.0,1.0,99.0
Robotics Engineers,1.0,1.0,1.0,102.0
Robotics Technicians,1.0,1.0,1.0,108.0
"Rock Splitters, Quarry",1.0,1.0,1.0,106.0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",1.0,1.0,1.0,101.0
"Roof Bolters, Mining",1.0,1.0,1.0,101.0
Roofers,1.0,1.0,1.0,101.0
"Rotary Drill Operators, Oil and Gas",1.0,1.0,1.0,91.0
Rough Carpenters,1.0,1.0,1.0,106.0
"Roustabouts, Oil and Gas",1.0,1.0,1.0,95.0
Sailors and Marine Oilers,1.0,1.0,1.0,104.0
"Sales Agents, Financial Services",1.0,1.0,1.0,130.0
"Sales Agents, Securities and Commodities",1.0,1.0,1.0,100.0
Sales Engineers,1.0,1.0,1.0,100.0
Sales Managers,1.0,1.0,1.0,100.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.0,1.0,1.0,108.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.0,1.0,1.0,97.0
"Sawing Machine Setters, Operators, and Tenders, Wood",1.0,1.0,1.0,119.0
School Psychologists,1.0,1.0,1.0,101.0
Search Marketing Strategists,1.0,1.0,1.0,99.0
"Secondary School Teachers, Except Special and Career/Technical Education",1.0,1.0,1.0,99.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.0,1.0,1.0,104.0
Securities and Commodities Traders,1.0,1.0,1.0,98.0
Security Guards,1.0,1.0,1.0,111.0
Security Management Specialists,1.0,1.0,1.0,97.0
Security Managers,1.0,1.0,1.0,129.0
Security and Fire Alarm Systems Installers,1.0,1.0,1.0,94.0
Segmental Pavers,1.0,1.0,1.0,108.0
Self-Enrichment Education Teachers,1.0,1.0,1.0,107.0
Semiconductor Processors,1.0,1.0,1.0,101.0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1.0,1.0,1.0,100.0
Septic Tank Servicers and Sewer Pipe Cleaners,1.0,1.0,1.0,109.0
"Service Unit Operators, Oil, Gas, and Mining",1.0,1.0,1.0,89.0
Set and Exhibit Designers,1.0,1.0,1.0,105.0
"Sewers, Hand",1.0,1.0,1.0,111.0
Sewing Machine Operators,1.0,1.0,1.0,105.0
Shampooers,1.0,1.0,1.0,103.0
Sheet Metal Workers,1.0,1.0,1.0,99.0
Sheriffs and Deputy Sheriffs,1.0,1.0,1.0,108.0
Ship Engineers,1.0,1.0,1.0,102.0
Ship and Boat Captains,1.0,1.0,1.0,96.0
"Shipping, Receiving, and Traffic Clerks",1.0,1.0,1.0,99.0
Shoe Machine Operators and Tenders,1.0,1.0,1.0,106.0
Shoe and Leather Workers and Repairers,1.0,1.0,1.0,121.0
Signal and Track Switch Repairers,1.0,1.0,1.0,109.0
Singers,1.0,1.0,1.0,112.0
Skincare Specialists,1.0,1.0,1.0,75.0
Slaughterers and Meat Packers,1.0,1.0,1.0,114.0
Slot Supervisors,1.0,1.0,1.0,102.0
Social Science Research Assistants,1.0,1.0,1.0,98.0
"Social Work Teachers, Postsecondary",1.0,1.0,1.0,112.0
Social and Community Service Managers,1.0,1.0,1.0,92.0
Social and Human Service Assistants,1.0,1.0,1.0,109.0
Sociologists,1.0,1.0,1.0,112.0
"Sociology Teachers, Postsecondary",1.0,1.0,1.0,107.0
"Software Developers, Applications",1.0,1.0,1.0,109.0
"Software Developers, Systems Software",1.0,1.0,1.0,88.0
Software Quality Assurance Engineers and Testers,1.0,1.0,1.0,100.0
Soil and Plant Scientists,1.0,1.0,1.0,100.0
Soil and Water Conservationists,1.0,1.0,1.0,99.0
Solar Energy Installation Managers,1.0,1.0,1.0,107.0
Solar Energy Systems Engineers,1.0,1.0,1.0,108.0
Solar Photovoltaic Installers,1.0,1.0,1.0,92.0
Solar Sales Representatives and Assessors,1.0,1.0,1.0,107.0
Solar Thermal Installers and Technicians,1.0,1.0,1.0,105.0
Solderers and Brazers,1.0,1.0,1.0,100.0
Sound Engineering Technicians,1.0,1.0,1.0,124.0
Spa Managers,1.0,1.0,1.0,104.0
"Special Education Teachers, Kindergarten and Elementary School",1.0,1.0,1.0,113.0
"Special Education Teachers, Middle School",1.0,1.0,1.0,105.0
"Special Education Teachers, Preschool",1.0,1.0,1.0,109.0
"Special Education Teachers, Secondary School",1.0,1.0,1.0,103.0
Speech-Language Pathologists,1.0,1.0,1.0,104.0
Speech-Language Pathology Assistants,1.0,1.0,1.0,91.0
Sports Medicine Physicians,1.0,1.0,1.0,97.0
Statement Clerks,1.0,1.0,1.0,88.0
Stationary Engineers and Boiler Operators,1.0,1.0,1.0,116.0
Statistical Assistants,1.0,1.0,1.0,93.0
Statisticians,1.0,1.0,1.0,98.0
"Stock Clerks, Sales Floor",1.0,1.0,1.0,104.0
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",1.0,1.0,1.0,107.0
"Stone Cutters and Carvers, Manufacturing",1.0,1.0,1.0,113.0
Stonemasons,1.0,1.0,1.0,98.0
Storage and Distribution Managers,1.0,1.0,1.0,104.0
Structural Iron and Steel Workers,1.0,1.0,1.0,98.0
Structural Metal Fabricators and Fitters,1.0,1.0,1.0,107.0
Substance Abuse and Behavioral Disorder Counselors,1.0,1.0,1.0,106.0
Subway and Streetcar Operators,1.0,1.0,1.0,92.0
Supply Chain Managers,1.0,1.0,1.0,97.0
Surgeons,1.0,1.0,1.0,112.0
Surgical Assistants,1.0,1.0,1.0,124.0
Surgical Technologists,1.0,1.0,1.0,117.0
Survey Researchers,1.0,1.0,1.0,113.0
Surveying Technicians,1.0,1.0,1.0,97.0
Surveyors,1.0,1.0,1.0,102.0
Sustainability Specialists,1.0,1.0,1.0,101.0
"Switchboard Operators, Including Answering Service",1.0,1.0,1.0,108.0
"Tailors, Dressmakers, and Custom Sewers",1.0,1.0,1.0,100.0
Talent Directors,1.0,1.0,1.0,113.0
"Tank Car, Truck, and Ship Loaders",1.0,1.0,1.0,131.0
Tapers,1.0,1.0,1.0,106.0
"Tax Examiners and Collectors, and Revenue Agents",1.0,1.0,1.0,104.0
Tax Preparers,1.0,1.0,1.0,93.0
Taxi Drivers and Chauffeurs,1.0,1.0,1.0,100.0
Teacher Assistants,1.0,1.0,1.0,117.0
Team Assemblers,1.0,1.0,1.0,109.0
Technical Directors/Managers,1.0,1.0,1.0,93.0
Technical Writers,1.0,1.0,1.0,107.0
Telecommunications Engineering Specialists,1.0,1.0,1.0,88.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",1.0,1.0,1.0,82.0
Telecommunications Line Installers and Repairers,1.0,1.0,1.0,114.0
Telemarketers,1.0,1.0,1.0,77.0
Telephone Operators,1.0,1.0,1.0,94.0
Tellers,1.0,1.0,1.0,107.0
Terrazzo Workers and Finishers,1.0,1.0,1.0,102.0
Textile Bleaching and Dyeing Machine Operators and Tenders,1.0,1.0,1.0,108.0
"Textile Cutting Machine Setters, Operators, and Tenders",1.0,1.0,1.0,104.0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1.0,1.0,1.0,116.0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",1.0,1.0,1.0,112.0
Tile and Marble Setters,1.0,1.0,1.0,95.0
Timing Device Assemblers and Adjusters,1.0,1.0,1.0,108.0
Tire Builders,1.0,1.0,1.0,105.0
Tire Repairers and Changers,1.0,1.0,1.0,93.0
"Title Examiners, Abstractors, and Searchers",1.0,1.0,1.0,104.0
"Tool Grinders, Filers, and Sharpeners",1.0,1.0,1.0,94.0
Tool and Die Makers,1.0,1.0,1.0,111.0
